Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2024-10-28,68741.1171875,69867.3515625,67482.5234375,69486.0234375,53052919746
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238
2024-11-25,97279.7890625,98935.03125,90770.8125,98033.4453125,419153048682
2024-12-02,101236.015625,103900.46875,91998.78125,97276.0078125,549005393438
2024-12-09,104298.6953125,105047.5390625,94321.2578125,101237.0625,521429282524
2024-12-16,95104.9375,108268.4453125,92175.1796875,104293.578125,551244500231
2024-12-23,96822.1015625,99884.5703125,92403.1328125,95099.390625,240747966591
