Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,
2024-10-28,2456.42529296875,2522.360595703125,2411.3984375,2512.208251953125,25307237145
2024-11-04,3191.331298828125,3249.9140625,2359.578125,2456.09521484375,221176275359
2024-11-11,3075.66162109375,3444.154052734375,3016.14404296875,3191.656982421875,287557599499
2024-11-18,3363.659912109375,3499.370849609375,3032.603271484375,3075.722900390625,250186107924
2024-11-25,3711.1650390625,3747.455322265625,3255.54296875,3364.6015625,253506075065
2024-12-02,4005.70458984375,4093.172119140625,3504.226318359375,3710.495361328125,297864523968
2024-12-09,3951.941162109375,4008.77783203125,3520.365234375,4006.101806640625,283106913820
2024-12-16,3277.53515625,4106.95556640625,3098.20361328125,3951.65283203125,312524917467
2024-12-23,3428.6787109375,3542.833740234375,3217.36865234375,3277.51416015625,120747179105
